Project ID, Project Name, Project PIF, Monthly Billsec in minutes, 
707, , , 2, 
708, , , 1, 
709, BVM_0722_CUPE National East English, 3520, 1351, 
710, BVM_0722_CUPE National West English, 3520, 682, 
711, BVM_0722_CUPE National East French, 3520, 137, 
712, BVM_0722_CUPE National West French, 3520, 9, 
706, , , 1, 
713, , , 2, 
714, , , 1, 
717, , , 21, 
718, BVM_0811_NBNU - English, 3414, 179, 
719, BVM_0811_NBNU - French, 3413, 102, 
720, BVM_0813_CNIB , 3531, 6891, 
722, , , 2, 
724, , , 1, 
727, , , 4, 
729, , , 1, 
730, BVM_0819_Kevin Test, FNDP0001, 41, 
725, Polling_0820_Vision IVR No Name English, 0000, 67913, 
726, Polling_0820_Vision IVR No Name Cantonese, 0000, 2600, 
731, IBVM_0820_MIKE_TEST3, FNDP0002, 32, 
732, BVM_0822_Jonathan-NowWithRedial!!, FNDP0003, 2, 
733, BVM_0822_Jonathan(AnotherTest), FNDP0004, 1, 
736, BVM_0826_CUPE National East English, 3520, 1189, 
737, BVM_0826_CUPE National West English, 3520, 575, 
738, BVM_0826_CUPE National East French, 3520, 107, 
739, BVM_0826_CUPE National West French, 3520, 6, 
740, Polling_0820_Vision IVR With Name English, 0000, 16194, 
728, Polling_0820_Vision IVR No Name Mandarin, 0000, 1915, 
743, BVM_0828_UFCW Local 832, 3521, 11707, 
741, Polling_0820_Vision IVR With Name Cantonese, 0000, 466, 
742, Polling_0820_Vision IVR With Name Mandarin, 0000, 549, 
734, BVM_0829_Mike Test 4, FNDP0005, 23, 
735, BVM_0903_Michaud Fete 6_Sep03_14, FNDP0006, 3, 
Number of Projects this month, 34, 
Total Billsec this month in minutes, 112710, 
