Project ID, Project Name, Project PIF, Monthly Billsec in minutes, 
684, Polling_0707_CNIB, 3504, 14848, 
674, , , 2, 
657, Polling_0606_DEMO Inbound, 0000, 1, 
656, Polling_0606_DEMO Outbound, 0000, 4, 
685, Polling_0710_DEMO Outbound VID and first name only, 0000, 10, 
689, Polling_0711_Vision Vancouver, 3499, 52661, 
688, , , 3, 
687, , , 1, 
690, Polling_0718_TEST, 0000, 3, 
691, BVM_0722_CUPE National 7PM English, 3520, 1369, 
692, BVM_0722_CUPE National 8PM English, 3520, 696, 
693, BVM_0722_CUPE National 7PM French, 3520, 47, 
694, BVM_0722_CUPE National 8PM French, 3520, 90, 
695, BVM_0723_CNIB , 3522, 16584, 
696, Polling_0725_Strategic Research, 3513, 57917, 
700, Polling_0707_CNIB, 3523, 5829, 
705, BVM_0731_Peter Julian, 3380, 5708, 
Number of Projects this month, 17, 
Total Billsec this month in minutes, 155773, 
