Project ID, Project Name, Project PIF, Monthly Billsec in minutes, 
938, BVM_1128_DSF TTH Invite - Registered, 3657, 2349, 
939, BVM_1128_DSF TTH Invite - NonRegistered, 3657, 3252, 
940, BVM_1128_DSF TTH Invite - AdditionalNumbers, 3657, 1299, 
936, BVM_1127_Vancouver Centre NoM_29Nov2014, FNDP0042, 595, 
931, BVM_1126_Victoria_Rankin_ElectoralReform-28Nov14, FNDP0041, 5169, 
925, Polling_1125_FCB_Peterborourgh, 3651, 1239, 
930, Polling_1124_CNIB_QC, 3659, 9464, 
935, BVM_1125_CECU_IBEW1007_TTHinvite, 3619, 108, 
933, BVM_1125_CECU_CSU52_TTHinvite, 3619, 409, 
932, BVM_1125_CECU_ATU_TTHinvite, 3619, 2557, 
934, BVM_1125_CECU_CUPE30_TTHinvite, 3619, 3857, 
928, BVM_1124_Coquitlam - TBoC_29NOV14, FNDP0040, 2548, 
927, BVM_1122_Surrey - TBoC_28NOV14, FNDP0039, 5444, 
926, BVM_1122_Trinity - Bay De Verde_ByElection_25NOV14, FNDP0038, 1853, 
929, BVM_1121_CNIB November 22nd BVM, 3661, 2694, 
924, BVM_1121_Vancouver-Quadra NoM_23Nov14, FNDP0037, 467, 
922, BVM_1118_MB Finance - Rural MB TTH invite, 3645, 17221, 
921, BVM_1119_MB Finance - Winnipeg TTH invite, 3645, 18746, 
923, BVM_1119_CNIB YR Nov 19, 3658, 244, 
920, BVM_1119_Dartmouth Cole Harbor - Child Care_22Nov14, FNDP0036, 2688, 
894, Polling_1117_FCB_Winnipeg South, 3651, 1521, 
919, BVM_1118_Nature Canada, 3617, 13238, 
902, BVM_1117_TBoC Town Hall - Victoria 22nov14, FNDP0035, 3001, 
893, Polling_1116_FCB_Saint Boniface, 3651, 581, 
916, BVM_1117_PIPSC - ENGLISH EAST - Nov 17, 3643, 46012, 
917, BVM_1117_PIPSC - ENGLISH WEST - NOV17, 3643, 10695, 
918, BVM_1117_PIPSC - FRENCH QUEBEC - Nov 17, 3643, 7530, 
892, Polling_1114_FCB_Edmonton Strathcona, 3651, 1164, 
915, BVM_1115_HMA IWK Foundation Thank You, 8888, 9372, 
912, BVM_1107_Vision Tony Endorsement, 3553, 30853, 
914, BVM_1107_Vision Joy Endorsement, 3553, 6056, 
896, BVM_1107_Vision Mabel Endorsement, 3553, 6018, 
888, Polling_1112_polling, regular, 4791, 
909, BVM_1104_Tactical Outcomes Coquitlam Eday-1, 3609, 2605, 
911, BVM_1104_Tactical Outcomes PM GOTV Vickers, 3625, 2511, 
897, BVM_1113_Vision Joyce Murray Endorsement, 3553, 2965, 
910, BVM_1114_Tactical Outcomes Lori GOTV, 8888, 5286, 
898, BVM_1113_Vision Ujjal Endorsement, 3553, 12595, 
905, BVM_1114_IUOE Local 963, 3652, 990, 
899, BVM_1114_Vision Harcourt Endorsment, 3553, 25597, 
900, BVM_1114_Vision Eby Endorsement, 3553, 8724, 
908, BVM_1114_UniforVanElectionNov14, 36463647, 1110, 
906, Polling_1107_Polling_InboundIVR_0132, regular, 3, 
904, BVM_1114_UniforVanElectionNov14d, 36463647, 1542, 
903, BVM_1114_reuse, 0000, 3, 
895, BVM_1113_UNITE HERE Local 40, 3650, 4800, 
891, BVM_1113_Vision Larry Campbell, 3553, 14187, 
831, Polling_1030_FCB_WINDSOR, 3628, 3, 
837, BVM_1105_WestIsland Womens Forum _ Lysane_05-nov-14, FNDP0028, 6108, 
833, Polling_1103_Dick Harrington for Council, 3618, 13415, 
839, BVM_1105_Postes Canada - Terrebonne _5-nov-14, FNDP0029, 10070, 
853, BVM_1105_CUPE LOCAL 30, 3633, 2955, 
854, Polling_1106_FCB_OSHAWA WHITBY, 3632, 426, 
849, BVM_1104_VV Sunset Advance Vote, 3554, 2198, 
843, BVM_1104_VV City Hall Advance Vote, 3554, 2832, 
845, BVM_1104_VV West End Advance Vote, 3554, 1279, 
846, BVM_1104_VV Thunderbird Advance Vote, 3554, 2671, 
847, BVM_1104_VV Roundhouse Advance Vote, 3554, 1725, 
848, BVM_1104_VV Kits Advance Vote, 3554, 2508, 
841, BVM_1104_Tactical Outcomes Advance Vote Delta, 8888, 5996, 
851, BVM_1104_VV Killarney Advance Vote, 3554, 2119, 
844, BVM_1104_Tactical Outcomes PM Advance Vote, 3625, 2603, 
842, BVM_1104_Tactical Outcomes Coquitlam Advance Vote, 3609, 4933, 
850, BVM_1104_VV Kerrisdale Advance Vote, 3554, 888, 
840, Polling_1104_FCB_LONDONWEST, 3632, 956, 
834, Polling_1103_Gregor_IBVM, 0000, 6, 
838, BVM_1103_BCGEU Children@Risk, 3631, 13179, 
887, BVM_1107_Vision Kits and WE TTH, 3553, 12108, 
886, BVM_1107_Vision City Wide TTH, 3553, 53554, 
883, Polling_1111_FCB_PARKSVILLE, 3644, 474, 
885, BVM_1112_NorthIslandPowellRiver-AlLCandidates_16Nov14, FNDP0034, 167, 
858, Polling_1107_Polling_InboundIVR_0120, regular, 3, 
884, BVM_1104_Tactical Outcomes Coquitlam Final Adv Vote, 3609, 5003, 
882, Polling_1111_FCB_COURTENAY, 3644, 277, 
856, BVM_1110_Whitby Oshawa -Rally W_Tom_12nov14, FNDP0032, 3089, 
881, BVM_1110_Vision Vancouver Moe Sunset, 3553, 571, 
879, BVM_1110_Vision Vancouver Moe City Hall, 3553, 44, 
880, BVM_1110_Vision Vancouver Moe Thunderbird, 3553, 33, 
877, BVM_1022_Tactical Outcomes Gaetan Joe&Elaine, 3615, 9575, 
859, BVM_1107_Vision Raymond Louie Thunderbird, 3553, 957, 
857, BVM_1107_David Cadmen, 3354, 28548, 
861, BVM_1107_Vision Patti Bacchus Kerrysdale CC, 3553, 633, 
869, BVM_1107_Vision Tim Stevenson West End CC, 3553, 1421, 
860, BVM_1107_Vision Patti Bacchus Kitsilano CC, 3553, 2155, 
862, BVM_1107_Vision Patti Bacchus City Hall, 3553, 44, 
868, BVM_1107_Vision Andrea Reimer Roundhouse, 3553, 232, 
863, BVM_1107_Vision Mabel Elmore City Hall, 3553, 334, 
870, BVM_1107_Vision Tim Stevenson Roundhouse CC, 3553, 837, 
871, BVM_1107_Vision Heather Deal City Hall, 3553, 1228, 
866, BVM_1107_Vision Andrea Reimer City Hall, 3553, 173, 
876, BVM_1107_Vision Kerry Jang Killarney, 3553, 1102, 
873, BVM_1107_Vision Heather Deal Kitsilano CC, 3553, 142, 
864, BVM_1107_Vision Mabel Elmore Thunderbird CC, 3553, 253, 
867, BVM_1107_Vision Mabel Elmore Kilarney CC, 3553, 325, 
872, BVM_1107_Vision Heather Deal Roundhouse CC, 3553, 482, 
874, BVM_1107_Vision Andrea Reimer Thunderbird, 3553, 923, 
875, BVM_1107_Vision Kerry Jang Thunderbird, 3553, 378, 
865, BVM_1107_Vision Mabel Elmore Sunset CC, 3553, 444, 
852, BVM_1105_NorthIslandPR-PortMcNeil All Cand _8-nov-14, FNDP0030, 52, 
829, BVM_1101_TBoC - Parksville - 9 Nov 2014, FNDP0027, 1652, 
828, BVM_1101_TBoC - Nanaimo - Nov 9 2014, FNDP0026, 4596, 
836, BVM_1102_CUPEBC_PRESIDENTS_TTH, 3626, 203, 
Number of Projects this month, 102, 
Total Billsec this month in minutes, 514835, 
