Project ID, Project Name, Project PIF, Monthly Billsec in minutes, 
732, BVM_0822_Jonathan-NowWithRedial!!, FNDP0003, 2, 
746, BVM_0902_Barinder Rosade, 3535, 15597, 
745, BVM_0904_VanKingswayNDP_NOM, FNDP0007, 623, 
735, BVM_0903_Michaud Fete 6_Sep03_14, FNDP0006, 1726, 
747, BVM_0903_NBNU - Sept4 - English, 3414, 203, 
748, BVM_0903_NBNU - Sept4 - French, 3414, 97, 
749, , , 1, 
750, , , 1, 
751, BVM_0905_CNIB, 3542, 492, 
752, BVM_0905_FNDP NewWestBurnabyRidingAssociation, 3532, 468, 
754, Polling_0908_FCB, 3545, 557, 
755, BVM_0909_MAHCP, 3534, 4199, 
756, Polling_0909_FCB, 3545, 369, 
757, Polling_0909_CNIB NS PEI, 3541, 1795, 
753, BVM_0909_Courtenay Alberni AllCandidateMeetings, FNDP0009, 407, 
758, BVM_0910_CNIB, 3551, 5901, 
763, BVM_0916_Trans Canada Trail, 3529, 14913, 
760, BVM_0918_Alfred-Pellan_Postes Canada, FNDP0010, 1246, 
767, BVM_0917_BCGEU Meet 'n' Greet, 3560, 523, 
768, BVM_0918_UFCW832, 3521, 52, 
769, BVM_0918_File Conversion Test for FNDP, 8888, 1, 
764, BVM_0919_Port Moody Coquitlam NoM, FNDP0011, 295, 
770, BVM_0922_NBU English 3h TTH, 3533, 1762, 
771, BVM_0922_NBU French 3h TTH, 3533, 571, 
679, IBVM_0623_Matt Demo Test - English, 0000, 17, 
766, BVM_0924_Sudbury Federal NDP - Tom NoM, FNDP0013, 503, 
776, BVM_0926_EFC Conference Call - EAST COAST, FNDP0016, 100, 
778, BVM_0926_AGA Mont-Royal, FNDP0018, 293, 
777, BVM_0926_EFC Conference Call - WEST COAST, FNDP0017, 64, 
779, Polling_0926_FCB, 3545, 682, 
780, BVM_0929_CUPE NATIONAL_TTHinvite_call1_Eng_east, 3563, 7865, 
783, BVM_0929_Unifor, 3571, 24507, 
782, BVM_0929_CUPE NATIONAL_TTHinvite_call3_Eng_West, 3563, 3887, 
781, BVM_0929_CUPE NATIONAL_TTHinvite_call2_FRENCH, 3563, 3452, 
784, BVM_0929_Workers United, 3561, 355, 
785, BVM_0930_TWU Merger - Quebec, 3583, 1733, 
786, BVM_0930_TWU Merger - Eastern, 3583, 13, 
787, BVM_0930_TWU Merger - Western, 3583, 11456, 
Number of Projects this month, 38, 
Total Billsec this month in minutes, 106728, 
