Project ID, Project Name, Project PIF, Monthly Billsec in minutes, 
901, BVM_1114_Vision Joy Mcphale Endorsement, 3553, 1, 
818, IBVM_1024_Wilson Test, PollingTest, 14, 
952, BVM_1222_CCPA, 3654, 9317, 
954, BVM_1220_Burnaby South - MP Holiday Greetings, FNDP0049, 1260, 
953, BVM_1218_New Brunswick Union, 3414, 59, 
920, BVM_1119_Dartmouth Cole Harbor - Child Care_22Nov14, FNDP0036, 3, 
949, BVM_1215_CUPE NATIONAL - HRCONF - ENG, 3674, 3514, 
950, BVM_1215_CUPE NATIONAL - HRCONF - FRE, 3674, 1241, 
951, BVM_1215_CUPE LOCAL 30, 3675, 197, 
948, BVM_1213_Tom TTH - NorthIsland_Powell River _14Dec14, FNDP0048, 295, 
947, BVM_1211_Tom TTH - Courtenay _14Dec14, FNDP0047, 3506, 
946, BVM_1211_Tom TTH - Campbell River _14Dec14, FNDP0046, 2211, 
945, BVM_1210_Stephen Thomas, 3668, 5966, 
942, BVM_1204_Investiture Argenteuil - La Petite-Nation, FNDP0044, 481, 
944, BVM_1204_CNIB Elliot Lake Dec 5, 3663, 147, 
937, BVM_1203_Kamloops-Thompson-YearEndSocial_6DEC14, FNDP0043, 356, 
943, BVM_1203_Chisholm Christmas Party_6Dec14, FNDP0045, 1694, 
941, BVM_1201_OPSEU TTH invite OPS Bargaining, 3662, 38868, 
Number of Projects this month, 18, 
Total Billsec this month in minutes, 69130, 
